GEO,2007,2008,2009,2010,2011,2012,2013,2014
Denmark,72.1,73.3,68.3,64.1,63.5,61.0,60.5,60.1
Germany,55.7,57.0,56.6,56.9,58.5,57.7,58.1,58.0
France,47.5,47.8,46.9,46.5,45.9,44.8,44.6,44.1
Italy,38.7,38.1,34.8,33.1,32.3,31.1,28.0,27.0
Lithuania,41.6,40.9,37.1,33.6,34.7,37.9,40.9,44.1
Netherlands,76.8,77.5,76.1,71.6,70.6,70.1,68.9,67.7
Romania,40.6,40.4,39.4,40.6,39.9,40.2,40.2,41.1
Slovenia,53.6,54.9,51.4,49.7,47.8,45.0,43.5,43.2
Sweden,55.2,54.9,51.0,51.4,53.8,53.5,55.2,56.9
United Kingdom,62.4,61.9,58.7,58.0,57.0,57.6,58.2,59.7
