GEO,2007,2008,2009,2010,2011,2012,2013,2014
Denmark,23.5,25,26,28.3,27.6,27,29,28.5
Germany,20.3,20.1,21.3,18.6,19.2,20.5,19.3,20.2
France,16.8,16.3,17.7,19.4,18.6,18.8,19.3,19.4
Italy,21.9,21.2,20.7,22.9,24.8,24.5,23.7,23.8
Lithuania,17.1,18.4,18.4,23.5,23.3,19.6,19.4,20.5
Netherlands,12.8,16.5,16.5,15.3,16.8,15.8,17.1,19.8
Romania,22.8,23.8,23.6,23.7,27.1,28.7,29.6,32
Slovenia,9.1,9.5,8.1,10.3,11.4,12.6,13.6,15.4
Sweden,20.8,21.2,22.2,23.1,22.1,22.4,23.9,25.5
United Kingdom,18.7,18.1,17.8,18.3,18.4,19.8,18.4,19.1
